polity_name,polity_region,leader_name,leader_first_year,leader_last_year,tenure,constitution_SC1,constitution_year_SC1,constitution_document_name_SC1,constitution_document_types_SC1,constitution_SC2,constitution_year_SC2,constitution_document_name_SC2,constitution_document_types_SC2,constitution_SC3,constitution_year_SC3,constitution_document_name_SC3,constitution_document_types_SC3,constitution_prediction,constitution_agreement,constitution_uncertainty
Cyrenaica,MENA and Africa,Al-Abbas ibn Ahmad ibn Tulun,879,881,2,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Tenasserim,Asia and Oceania,Sir Henry Marion Durand,1844,1846,2,2,1833,Government of India Act 1833,2,2,1833,Government of India Act 1833,2,2.0,1833,Government of India Act 1833,2,2,1.0,none
Paphos,MENA and Africa,Nicocles of Paphos,-321,-309,12,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Dutch Coromandel,Asia and Oceania,Arent Gardenijs,1638,1643,5,1,1642,Bataviasche Statuten,1,1,1642,Statutes of Batavia,1,2.0,1602; 1642,Charter of the Dutch East India Company; Statutes of Batavia,2; 2,1,0.667,low
Brecqhou,Europe,John Thomson Donaldson,1949,1966,17,2,1951,Reform (Sark) Law,2,2,1951,Reform (Sark) Law,2,0.0,,N/A,,2,0.667,low
Jema'a Emirate,MENA and Africa,Muhammadu Adda dan Usman,1869,1881,12,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Bailiwick of Blenio,Europe,Melchior Josef Alois von Matt,1774,1776,2,2,,Statuti della Valle di Blenio,2,2,,Statutes of Blenio,2,1.0,1490,Statuti di Blenio,1,2,0.667,low
Sultanate of Lakhnauti,Asia and Oceania,Nasiruddin Bughra Khan,1281,1291,10,0,,N/A,,0,,N/A,,,,,,0,1.0,none
//Khau-|goan,MENA and Africa,David Swartbooi,1895,1898,3,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Sasanian Empire,MENA and Africa,Bahram I,273,276,3,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Principality of Pinsk,Europe,Svyatopolk Yuryevich,1184,1190,6,1,1016,Russkaya Pravda,1,1,1016,Russkaya Pravda,1,1.0,1016,Russkaya Pravda,1,1,1.0,none
Sultanate of Agadez,MENA and Africa,Muhammad Guma,1816,1821,5,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Kingdom of Tilantongo,Americas,Lord 5 Water,1160,1170,10,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Palitana State,Asia and Oceania,Noghanji IV,1840,1860,20,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Nasarawa Emirate,MENA and Africa,Umaru dan Muhammadu,1930,1941,11,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Aztec Empire,Americas,Ahuitzotl,1486,1502,16,1,1431; 1440,Code of Nezahualcoyotl; Laws of Moctezuma I,1; 1,0,,N/A,,0.0,,N/A,,0,0.667,low
Sakya Tibet,Asia and Oceania,bDag-nyid bZang-po-dpal,1306,1324,18,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
Copán,Americas,K'ak' Nab K'awiil,628,695,67,0,,N/A,,0,,N/A,,0.0,,N/A,,0,1.0,none
